Date : 2025-12-01 15:27:19
Directory : /home/denis/vscode_projects/project-game-atlas/packages/frontend
Total : 85 files,  767 codes, 0 comments, 146 blanks, all 913 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         21 |        555 |          0 |        106 |        661 |
| TypeScript     |         63 |        210 |          0 |         40 |        250 |
| JSON           |          1 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                           |         85 |        767 |          0 |        146 |        913 |
| . (Files)                                                                                                                                                                                                                   |          1 |          2 |          0 |          0 |          2 |
| src                                                                                                                                                                                                                         |         84 |        765 |          0 |        146 |        911 |
| src (Files)                                                                                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| src/app                                                                                                                                                                                                                     |          1 |          3 |          0 |          0 |          3 |
| src/app/router                                                                                                                                                                                                              |          1 |          3 |          0 |          0 |          3 |
| src/entities                                                                                                                                                                                                                |         30 |        180 |          0 |         37 |        217 |
| src/entities/game                                                                                                                                                                                                           |          5 |         10 |          0 |          2 |         12 |
| src/entities/game/api                                                                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src/entities/game/model                                                                                                                                                                                                     |          3 |          0 |          0 |          0 |          0 |
| src/entities/game/model/interfaces                                                                                                                                                                                          |          3 |          0 |          0 |          0 |          0 |
| src/entities/game/ui                                                                                                                                                                                                        |          1 |          9 |          0 |          2 |         11 |
| src/entities/game/ui/paginte-game-item                                                                                                                                                                                      |          1 |          9 |          0 |          2 |         11 |
| src/entities/genre                                                                                                                                                                                                          |          5 |        -18 |          0 |         -2 |        -20 |
| src/entities/genre/ui                                                                                                                                                                                                       |          5 |        -18 |          0 |         -2 |        -20 |
| src/entities/genre/ui (Files)                                                                                                                                                                                               |          1 |         -1 |          0 |          0 |         -1 |
| src/entities/genre/ui/genre-badge                                                                                                                                                                                           |          4 |        -17 |          0 |         -2 |        -19 |
| src/entities/genre/ui/genre-badge (Files)                                                                                                                                                                                   |          2 |        -13 |          0 |         -2 |        -15 |
| src/entities/genre/ui/genre-badge/interfaces                                                                                                                                                                                |          2 |         -4 |          0 |          0 |         -4 |
| src/entities/personal-library-game                                                                                                                                                                                          |         15 |        130 |          0 |         28 |        158 |
| src/entities/personal-library-game/api                                                                                                                                                                                      |          5 |         32 |          0 |          8 |         40 |
| src/entities/personal-library-game/model                                                                                                                                                                                    |         10 |         98 |          0 |         20 |        118 |
| src/entities/personal-library-game/model (Files)                                                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src/entities/personal-library-game/model/const                                                                                                                                                                              |          2 |         10 |          0 |          1 |         11 |
| src/entities/personal-library-game/model/hooks                                                                                                                                                                              |          6 |         80 |          0 |         18 |         98 |
| src/entities/personal-library-game/model/interfaces                                                                                                                                                                         |          1 |          7 |          0 |          1 |          8 |
| src/entities/screenshot                                                                                                                                                                                                     |          5 |         58 |          0 |          9 |         67 |
| src/entities/screenshot (Files)                                                                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src/entities/screenshot/model                                                                                                                                                                                               |          1 |          6 |          0 |          1 |          7 |
| src/entities/screenshot/model/interfaces                                                                                                                                                                                    |          1 |          6 |          0 |          1 |          7 |
| src/entities/screenshot/ui                                                                                                                                                                                                  |          3 |         51 |          0 |          8 |         59 |
| src/entities/screenshot/ui (Files)                                                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src/entities/screenshot/ui/screenshots-carousel                                                                                                                                                                             |          2 |         50 |          0 |          8 |         58 |
| src/features                                                                                                                                                                                                                |         33 |        498 |          0 |         96 |        594 |
| src/features/catalog                                                                                                                                                                                                        |         17 |        277 |          0 |         54 |        331 |
| src/features/catalog (Files)                                                                                                                                                                                                |          1 |          2 |          0 |         -1 |          1 |
| src/features/catalog/get-catalog-games                                                                                                                                                                                      |          1 |          5 |          0 |          2 |          7 |
| src/features/catalog/get-catalog-games/ui                                                                                                                                                                                   |          1 |          5 |          0 |          2 |          7 |
| src/features/catalog/get-catalog-games/ui/catalog-game-list                                                                                                                                                                 |          1 |          5 |          0 |          2 |          7 |
| src/features/catalog/get-game-details                                                                                                                                                                                       |         15 |        270 |          0 |         53 |        323 |
| src/features/catalog/get-game-details (Files)                                                                                                                                                                               |          1 |          2 |          0 |          0 |          2 |
| src/features/catalog/get-game-details/model                                                                                                                                                                                 |          5 |         15 |          0 |          3 |         18 |
| src/features/catalog/get-game-details/model (Files)                                                                                                                                                                         |          1 |          1 |          0 |          0 |          1 |
| src/features/catalog/get-game-details/model/interfaces                                                                                                                                                                      |          4 |         14 |          0 |          3 |         17 |
| src/features/catalog/get-game-details/ui                                                                                                                                                                                    |          9 |        253 |          0 |         50 |        303 |
| src/features/catalog/get-game-details/ui (Files)                                                                                                                                                                            |          1 |          2 |          0 |          1 |          3 |
| src/features/catalog/get-game-details/ui/game-data                                                                                                                                                                          |          2 |         77 |          0 |         15 |         92 |
| src/features/catalog/get-game-details/ui/game-data-footer                                                                                                                                                                   |          2 |         81 |          0 |         14 |         95 |
| src/features/catalog/get-game-details/ui/game-data-header                                                                                                                                                                   |          2 |         47 |          0 |         11 |         58 |
| src/features/catalog/get-game-details/ui/game-details                                                                                                                                                                       |          2 |         46 |          0 |          9 |         55 |
| src/features/personal-library                                                                                                                                                                                               |         16 |        221 |          0 |         42 |        263 |
| src/features/personal-library/get-personal-library-game-details                                                                                                                                                             |         15 |        216 |          0 |         40 |        256 |
| src/features/personal-library/get-personal-library-game-details (Files)                                                                                                                                                     |          1 |          2 |          0 |          0 |          2 |
| src/features/personal-library/get-personal-library-game-details/model                                                                                                                                                       |          7 |         28 |          0 |          6 |         34 |
| src/features/personal-library/get-personal-library-game-details/model (Files)                                                                                                                                               |          1 |          2 |          0 |          0 |          2 |
| src/features/personal-library/get-personal-library-game-details/model/interfaces                                                                                                                                            |          4 |         15 |          0 |          3 |         18 |
| src/features/personal-library/get-personal-library-game-details/model/schemas                                                                                                                                               |          2 |         11 |          0 |          3 |         14 |
| src/features/personal-library/get-personal-library-game-details/ui                                                                                                                                                          |          7 |        186 |          0 |         34 |        220 |
| src/features/personal-library/get-personal-library-game-details/ui (Files)                                                                                                                                                  |          1 |          2 |          0 |          1 |          3 |
| src/features/personal-library/get-personal-library-game-details/ui/personal-library-game-actions                                                                                                                            |          2 |         79 |          0 |         13 |         92 |
| src/features/personal-library/get-personal-library-game-details/ui/personal-library-game-actions-footer                                                                                                                     |          2 |         59 |          0 |         11 |         70 |
