"filename", "language", "JSON", "TypeScript", "XML", "TypeScript JSX", "Prisma", "Markdown", "CSV", "MS SQL", "JavaScript", "JSON with Comments", "Dotenv", "CSS", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/backend/.VSCodeCounter/2025-12-02_17-58-17/results.md", "Markdown", 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 7, 312
"/home/denis/vscode_projects/project-game-atlas/packages/backend/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/home/denis/vscode_projects/project-game-atlas/packages/backend/prisma/migrations/20251126175519_removed_username/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 8, 2, 12
"/home/denis/vscode_projects/project-game-atlas/packages/backend/prisma/migrations/20251127202004_/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 14, 6, 26
"/home/denis/vscode_projects/project-game-atlas/packages/backend/prisma/migrations/20251201174455_added_on_cascade_relation/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 24, 24, 72
"/home/denis/vscode_projects/project-game-atlas/packages/backend/prisma/migrations/20251201212758/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 7, 1, 17
"/home/denis/vscode_projects/project-game-atlas/packages/backend/prisma/migrations/20251202150347/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 7, 1, 14
"/home/denis/vscode_projects/project-game-atlas/packages/backend/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, 0, -1, -14, -51
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/config/winston-logger/config/winston-logger.config.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/analytics.module.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
