"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/services/heuristic-engine-service/heuristic-engine.service.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 16, 100
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/services/math-core/math-core.service.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 13, 72
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/analytics/services/recommendation-curator/recommendation-curator.service.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 17, 94
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/auth.module.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 1, 58
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/controllers/auth/auth-write-controller/auth-write.controller.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 12, 90
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/controllers/user/user-read-controller/user-read.controller.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 4, 24
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/controllers/user/user-write-controller/user-write.controller.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 5, 33
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 2, 4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/auth/forgot-password.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/auth/reset-password.dto.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/auth/verify-forgot-password-code.dto.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/jwt-token/jwt-token-payload.dto.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/otp/index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/auth/dto/request/otp/otp-create.dto.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 5, 24
