"filename", "language", "TypeScript", "Prisma", "MS SQL", "JavaScript", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/keywords/keywords/abstracts/ikeyword-read.repository.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/keywords/keywords/implementations/keyword-read.repository.ts", "TypeScript", 24, 0, 0, 0, 0, 3, 27
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/game-platform/abstracts/igame-platform-read.repository.ts", "TypeScript", -3, 0, 0, 0, 0, -3, -6
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/game-platform/abstracts/igame-platform-write.repository.ts", "TypeScript", -5, 0, 0, 0, 0, -3, -8
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/game-platform/abstracts/index.ts", "TypeScript", -2, 0, 0, 0, 0, 0, -2
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/game-platform/implementations/game-platform-read.repository.ts", "TypeScript", -15, 0, 0, 0, 0, -4, -19
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/game-platform/implementations/game-platform-write.repository.ts", "TypeScript", -36, 0, 0, 0, 0, -7, -43
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/game-platform/implementations/index.ts", "TypeScript", -2, 0, 0, 0, 0, -2, -4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/abstracts/index.ts", "TypeScript", -2, 0, 0, 0, 0, -2, -4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/abstracts/iplatform-type-read.repository.ts", "TypeScript", -3, 0, 0, 0, 0, -3, -6
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/abstracts/iplatform-type-write.repository.ts", "TypeScript", -5, 0, 0, 0, 0, -3, -8
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/implementations/index.ts", "TypeScript", -2, 0, 0, 0, 0, -2, -4
